UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2004,15322902000032004,,Publicado,Serviço de Telefonia Fixa Comutado,,3000072125200479,Nacional,3,MARIA ROSA SANTOS SILVA,Presidente da CPL,07/07/2004 08:00,Rodovia 399 km 05 - Zona Rural/RO,,22/07/2004 08:00,07/07/2004,/licitacoes/id/licitacao/15322902000032004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2005,15322902000032005,,Publicado,"Reforma do refeitorio, suinucultura ag roindustria carnes,cobertura casa do geradore Pintura Herbario",,3000062326200549,Nacional,5,VANDERLEI KUIPERS,Presidente da CPL,14/12/2005 08:00,Rodovia 399 caixa postaal 47 - Zona Rural/RO,,29/12/2005 08:00,14/12/2005,/licitacoes/id/licitacao/15322902000032005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2005,15322901000032005,,Divulgado,Aquisição de Material Eletrico,,3000062129200520,Nacional,40,,,18/07/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,25/07/2005 08:00,,/licitacoes/id/licitacao/15322901000032005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2005,15322905000032005,Presencial,Publicado,Aquisição de Gêneros Alimentícios,,3000062026200560,Nacional,97,MARIA ROSA SANTOS SILVA,Pregoeira,14/03/2005 08:00,Rodovia 399 km 05 caixa postal 47 - Zona Rural/RO,,28/03/2005 09:00,14/03/2005,/licitacoes/id/licitacao/15322905000032005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2006,15322902000032006,,Publicado,Serviço de reforma em coberturas nas salas da CGRH e SRE e melhoria na infraestrutu ra no setor de agroindústria,,23000062332200687,Nacional,8,MARIA ROSA SANTOS SILVA,Presidente da Comissão de Licitação,13/09/2006 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,,29/09/2006 09:00,13/09/2006,/licitacoes/id/licitacao/15322902000032006/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2006,15322905000032006,Eletrônico,Publicado,Pregão Eletrônico Aquisição de com bustivel e gás liquefeito,,3000062129200619,Nacional,5,MARIA ROSA SANTOS SILVA,Pregoeira,31/03/2006 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,12/04/2006 10:00,31/03/2006 08:00,30/03/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2007,15322905000032007,Eletrônico,Publicado,Pregão Eletrônico Contrataçao de Ser viço de Limpeza e Gravaçao de Fitas VHS em DVD,,23000062066200773,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,21/03/2007 08:00,Rodovia 399 km 05 - Zona rural/RO,02/04/2007 10:00,21/03/2007 08:00,20/03/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2007,15322902000032007,,Publicado,Construção de sala de Aulas e outros,,23000062473200781,Nacional,3,VANDERLEI KUIPERS,Presidente da CPL,18/10/2007 08:00,Escola Agrotecnica Federal de Colorado do Oeste KM 05 caixa postal 51 - Zona Rural/RO,,05/11/2007 09:00,17/10/2007,/licitacoes/id/licitacao/15322902000032007/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2008,15322902000032008,,Publicado,Construção de Cobertura e de Piso de Ac esso ao Centro Vocacional,,23000074524200806,Nacional,1,VANDERLEI KUIPERS,Presidente Substituto da CPL,15/12/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,,30/12/2008 08:00,15/12/2008,/licitacoes/id/licitacao/15322902000032008/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2008,15322905000032008,Eletrônico,Publicado,Pregão Eletrônico Contratação de Em presa Especializada em Serviço de Limpeza e Con servação,,23000074122200801,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,11/04/2008 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,24/04/2008 10:00,11/04/2008 08:00,11/04/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00003/2009,15322903000032009,,Publicado,Construção de Instalações Sanitarias,,23000062570200935,Nacional,1,VANDERLEI KUIPERS,Presidente da C.P.L,13/11/2009 08:00,Instituto Federal de Rndônia Campus de Colorado do Oeste RO cx postal 51 - Zona Rural/RO,,14/12/2009 09:00,13/11/2009,/licitacoes/id/licitacao/15322903000032009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2009,15322905000032009,Eletrônico,Publicado,Pregão Eletrônico Contratação de emp resa especializada para fornecimento de passage ns aéreas nacionais,,23000062001200990,Nacional,1,RENATO MARCOS SANDI SILVA,Pregoeiro,09/01/2009 08:00,Rod.339 km05 - Zona rural/RO,21/01/2009 11:00,09/01/2009 08:00,09/01/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2009,15322902000032009,,Publicado,"Construção de Escada, Calçada e Rampa d e Acesso aos Portadores de Necessidades Especia is",,23000062337200952,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,24/07/2009 08:00,"Instituto Federal de Rondonia, Rod 399 Km 05 caixa Postal 51 - Zona Rural/RO",,10/08/2009 09:00,24/07/2009,/licitacoes/id/licitacao/15322902000032009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/1999,15322901000041999,,Publicado,"Aquisição de Material Bibliográfico de acordo com Contrato de Empréstimo n. 1052/OC-BR MEC/BID, Convênio MEC/127/98/PROEP. Preço  do Edital, R$ 10,00.",,3000061725/99-38,Nacional,543,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,13/09/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,20/09/1999 08:00,10/09/1999,/licitacoes/id/licitacao/15322901000041999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2000,15322901000042000,,Divulgado,"Aquisição de rações, concentrados e medicamentos.",,3000061532200027,Nacional,91,,,04/02/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,14/02/2000 08:00,,/licitacoes/id/licitacao/15322901000042000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2001,15322901000042001,,Divulgado,Despesas com Passagens Aéreas.,,3000063010200141,Nacional,19,,,23/02/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,08/03/2001 09:00,,/licitacoes/id/licitacao/15322901000042001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2002,15322901000042002,,Divulgado,Aquisiçao de Carcaça Bovina.,,3000063006200263,Nacional,1,,,19/02/2002 08:00,Rod 399 Km 05 - Zona Rural/RO,,27/02/2002 10:00,,/licitacoes/id/licitacao/15322901000042002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2003,15322901000042003,,Divulgado,Aquisição de Materiais de Expediente,,3000072064200369,Nacional,86,,,04/04/2003 08:00,Rod 399 km 61 - Zona Rural/RO,,15/04/2003 08:00,,/licitacoes/id/licitacao/15322901000042003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00004/2003,15322902000042003,,Publicado,"Prestaçao de Serviços Ccontinuos de Lim peza, Conservaçao e Higienizaçao",,3000072160200315,Nacional,1,VANDERLEI KUIPERS,Presidente CPL,29/07/2003 08:00,Rodovia 399 Km 05 - Zona Rural/RO,,14/08/2003 08:00,28/07/2003,/licitacoes/id/licitacao/15322902000042003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00004/2004,15322902000042004,,Publicado,Contratação de Serviço de Telecomunicação:Backbone da Internet,,3000072149200428,Nacional,2,MARIA ROSA SANTOS SILVA,Presidente da Comissão de Licitação,27/09/2004 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,14/10/2004 08:00,27/09/2004,/licitacoes/id/licitacao/15322902000042004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2004,15322901000042004,,Divulgado,Aquisição de Material de Processamento de Dados,,3000072020200410,Nacional,21,,,28/04/2004 08:00,Escola Agrotecnica Federal de Colora do Rod.399 Km 05 - Zona Rural/RO,,06/05/2004 08:00,,/licitacoes/id/licitacao/15322901000042004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00004/2005,15322901000042005,,Divulgado,Aquisição de Suplemento Mineral,,3000062163200502,Nacional,23,,,18/07/2005 08:00,"Rodovia 399, km 05 cx postal 47 - Zona Rural/RO",,26/07/2005 08:00,,/licitacoes/id/licitacao/15322901000042005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00004/2005,15322905000042005,Eletrônico,Publicado,Pregão Eletrônico Aquisição de Mate riais Consuméveis de Informática,,3000062046200531,Nacional,18,MARIA ROSA SANTOS SILVA,Pregoeira,16/03/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,30/03/2005 09:00,16/03/2005 08:00,16/03/2005
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00004/2006,15322905000042006,Eletrônico,Publicado,Pregão Eletrônico Aquisiçao de Pneus,,3000062140200671,Nacional,7,VANDERLEI KUIPERS,Pregoeiro,27/03/2006 08:00,Rodovia 399_Km 05 zona rural caixa   postal 47 - Zona rural/RO,07/04/2006 09:00,27/03/2006 08:00,24/03/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00004/2006,15322902000042006,,Publicado,Serviço de manutenção e reforma de alo jamentos e refeitório,,23000062455200618,Nacional,2,MARIA ROSA SANTOS SILVA,Presidente da Comissão Permanente de Licitação,22/11/2006 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,,07/12/2006 09:00,22/11/2006,/licitacoes/id/licitacao/15322902000042006/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00004/2007,15322905000042007,Eletrônico,Publicado,Pregão Eletrônico Aquisição de Combu stiveis,,23000062123200714,Nacional,2,VANDERLEI KUIPERS,Pregoeiro,19/04/2007 08:00,Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,03/05/2007 10:00,19/04/2007 08:00,19/04/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00004/2007,15322902000042007,,Publicado,"Construção de Viveiro AG I, AG III, Co bertura de estufa da AG I e Reforma do ginásio primeira etapa",,23000062542200756,Nacional,5,MARIA ROSA SANTOS SILVA BRAGA,Presidente Substituta da Comissão Permanente    de Licitação,16/11/2007 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,,03/12/2007 09:00,16/11/2007,/licitacoes/id/licitacao/15322902000042007/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00004/2008,15322905000042008,Eletrônico,Publicado,Pregão Eletrônico Aquisiçaõ de Quadr os,,23000074147200805,Nacional,2,VANDERLEI KUIPERS,Pregoeiro,05/06/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod. 399 Km 05 Cx Postal 51 - Zona Rural/RO,19/06/2008 10:00,05/06/2008 08:00,05/06/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00004/2009,15322905000042009,Eletrônico,Publicado,Pregão Eletrônico Telefonia Movel,,23000074506200816,Nacional,2,VANDERLEI KUIPERS,Pregoeiro,21/01/2009 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,02/02/2009 10:00,21/01/2009 08:00,21/01/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00004/2009,15322903000042009,,Publicado,Construção do Centro de Saude,,23000062612200938,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,26/11/2009 08:00,Instituto Federal de Rondonia Campus de Colorado do Oeste RO cx postal 51 - Zona Rural/RO,,28/12/2009 09:00,26/11/2009,/licitacoes/id/licitacao/15322903000042009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00004/2009,15322902000042009,,Publicado,Conclusão da Obra de Construção da Casa do Mel e das Salas de Estudo e TV,,23000062429200932,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,07/08/2009 08:00,Instituto Fedreal de Rondonia Campus de Colorado do Oeste Caixa Postal 51 - Zona Rural/RO,,24/08/2009 09:00,07/08/2009,/licitacoes/id/licitacao/15322902000042009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/1999,15322901000051999,,Publicado,"Aquisição de Equipamentos de Informática, conforme Contrato de Empréstimo 1052/OC-BRMEC/BID, Convênio MEC/127/98/PROEP.",,3000061645/99-09,Nacional,2,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,11/08/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,24/08/1999 08:00,11/08/1999,/licitacoes/id/licitacao/15322901000051999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2000,15322901000052000,,Divulgado,"Aquisição de Combustíveis, Lubrificantes e Peças para Manutenção de Veículos e  Máquinas.",,3000061534200016,Nacional,116,,,01/03/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,09/03/2000 14:00,,/licitacoes/id/licitacao/15322901000052000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2001,15322901000052001,,Divulgado,Aquisicao de generos alimenticios e material de limpeza.,,3000063045200180,Nacional,81,,,19/03/2001 08:00,"Rodovia 399, km 05 - Zona Rural/RO",,26/03/2001 09:00,,/licitacoes/id/licitacao/15322901000052001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2002,15322901000052002,,Divulgado,Prestação de serviço de editoração mensal.,,3000063016200207,Nacional,1,,,19/02/2002 08:00,Rod 399 Km 05 - Zona Rural/RO,,28/02/2002 08:00,,/licitacoes/id/licitacao/15322901000052002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2003,15322901000052003,,Divulgado,Aquisição de peças e outros para manu tenção.,,3000072067200301,Nacional,83,,,04/04/2003 08:00,Rodovia 399 Km 61 - Zona Rural/RO,,22/04/2003 08:00,,/licitacoes/id/licitacao/15322901000052003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2004,15322901000052004,,Divulgado,Aquisição de Materiais de Construção,,3000072013200418,Nacional,123,,,18/05/2004 08:00,Escola Agroténica Federal de Colorado do Oeste RO ROD 399 KM 05 - Zona Rural'/RO,,25/05/2004 08:00,,/licitacoes/id/licitacao/15322901000052004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00005/2005,15322905000052005,Presencial,Publicado,Aquisição de Produtos Agropecuários,,3000062032200517,Nacional,23,MARIA ROSA SANTOS SILVA,Pregoeira,18/04/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,29/04/2005 09:00,15/04/2005,/licitacoes/id/licitacao/15322905000052005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00005/2005,15322901000052005,,Divulgado,Aquisição de material hidraulico,,3000062128200585,Nacional,54,,,19/07/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,27/07/2005 08:00,,/licitacoes/id/licitacao/15322901000052005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00005/2006,15322905000052006,Eletrônico,Publicado,Pregão Eletrônico Aquisiçao de passa gens Terrestre,,3000062106200604,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,27/03/2006 08:00,Rodovia 399 KM 05 caixa postal 47 - Zona rural/RO,11/04/2006 09:00,27/03/2006 08:00,24/03/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00005/2007,15322905000052007,Eletrônico,Publicado,Pregão Eletrônico Contratacao de Prestacao de Servico de Vigilancia,,23000062131200761,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,20/04/2007 08:00,Rodovia 399 km 05 caixa postal 51 - Zona Rural/RO,07/05/2007 10:00,20/04/2007 08:00,20/04/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00005/2008,15322905000052008,Eletrônico,Publicado,Pregão Eletrônico Aquisição de Combu stiveis,,23000074163200890,Nacional,2,VANDERLEI KUIPERS,Pregoeiro,05/06/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Caixa postal 51 Rod 399 Km 05 - Zona Rural/RO,17/06/2008 10:00,05/06/2008 08:00,05/06/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00005/2009,15322902000052009,,Publicado,"Construção de Laboratorios, Banheiros, Salas de Coordenação e Salas de Aulas",,23000062431200910,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,07/08/2009 08:00,Instituto Federal de Rondonia Campus de Colorado do Oeste RO caixa postal51 - Zona Rural/RO,,25/08/2009 09:00,07/08/2009,/licitacoes/id/licitacao/15322902000052009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00005/2009,15322903000052009,,Publicado,Construção do Centro Educacional e Cult ural,,23000062636200997,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,27/11/2009 08:00,Instituto Federal de Rondonia Campus de Colorado RO cx postal 51 - Zona Rural/RO,,29/12/2009 09:00,27/11/2009,/licitacoes/id/licitacao/15322903000052009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00005/2009,15322905000052009,Eletrônico,Publicado,Pregão Eletrônico Aquisição de combu stível,,23000062029200927,Nacional,2,RENATO MARCOS SANDI SILVA,Pregoeiro,02/02/2009 08:00,Rod.399 km 05 - Zona Rural/RO,12/02/2009 10:00,02/02/2009 08:00,02/02/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/1999,15322901000061999,,Publicado,"Aquisição de animais, de acordo com  o Contrato de Empréstimo 1052/OC-BR-MEC/BID, Convênio MEC/127/98/PROEP.",,3000061644/99-38,Nacional,5,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,11/08/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,25/08/1999 14:00,11/08/1999,/licitacoes/id/licitacao/15322901000061999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/2000,15322901000062000,,Divulgado,Aquisição de pneus e câmaras para veículos e máquinas.,,3000061536200013,Nacional,16,,,29/02/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,13/03/2000 08:00,,/licitacoes/id/licitacao/15322901000062000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/2001,15322901000062001,,Publicado,"Aquisição de Livros, Fitas de Vídeo  e CD Room didáticos.","Edital R$ 10,00",3000063072200152,Nacional,191,JACKSON BEZERRA NUNES,Presidente da CEL,07/06/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,21/06/2001 08:00,07/06/2001,/licitacoes/id/licitacao/15322901000062001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/2002,15322901000062002,,Divulgado,"Aquisiçao de Gêneros Alimentícios, Materiais de Limpeza e Outros.",,3000063027200289,Nacional,105,,,19/02/2002 08:00,Rod 399 Km 05 - Zona Rural/RO,,28/02/2002 09:30,,/licitacoes/id/licitacao/15322901000062002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/2003,15322901000062003,,Divulgado,"Aquisição de Pneus, Câmaras de ar  e outros.",,3000072063200314,Nacional,12,,,04/04/2003 08:00,Rodovia 399 Km 61 - Zona Rural/RO,,17/04/2003 08:00,,/licitacoes/id/licitacao/15322901000062003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00006/2004,15322901000062004,,Divulgado,Aquisição de Trinta Cabeças de Gado com uma media de 12 arrobas cada,,3000072066200439,Nacional,1,,,02/06/2004 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 km 05 - Zona Rural/RO,,09/06/2004 08:00,,/licitacoes/id/licitacao/15322901000062004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00006/2005,15322905000062005,Presencial,Publicado,Contratação de empresa para fornecimento de bilhetes de passagens aéreas.,,3000062054200587,Nacional,1,DÉBORA GONÇALVES DE LIMA,Pregoeira,02/05/2005 08:00,Rod. 399 Km 05 - Zona Rural/RO,,12/05/2005 09:00,02/05/2005,/licitacoes/id/licitacao/15322905000062005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00006/2006,15322905000062006,Eletrônico,Publicado,"Pregão Eletrônico Aquisição de cere ais, leguminosas, tuberculos e derivados",,3000062157200628,Nacional,20,MARIA ROSA SANTOS SILVA,Pregoeira,11/04/2006 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,25/04/2006 10:00,11/04/2006 08:00,10/04/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00006/2007,15322905000062007,Eletrônico,Publicado,"Pregão Eletrônico Prestação De Servi Das Instalações Físicas Bem Como Apoio Ao Geren ciamento e a Supervisão De Obras e Serviços ços De Engenharia Para Elaboração De Projetos De Engenharia, Normas E Procedimentos De Obras Composto De Levantamentos Básicos, Estudos e Laudos Técnicos, Especificações Técnicas, Proje tos Básicos E Executivos, Memoriais Descritivos Orçamentos, Composição De Custos, Avaliação Es trutural De Edificações, Cronogramase Afins Vi sando a Conservação, a Adequação e a Ampliação",,23000062142200741,Nacional,1,MARIA ROSA SANTOS SILVA,Pregoeira,23/04/2007 08:00,Rodovia 399 km 05 cx postal 51 - Zona rural/RO,09/05/2007 10:00,23/04/2007 08:00,23/04/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00006/2008,15322905000062008,Eletrônico,Publicado,Pregão Eletrônico Aquisição de Mater ial hospitalar e Farmaceutico,,23000074158200887,Nacional,66,VANDERLEI KUIPERS,Pregoeiro,09/06/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 Km 05 Cx postal 51 - Zona Rural/RO,23/06/2008 10:00,09/06/2008 08:00,06/06/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00006/2009,15322905000062009,Eletrônico,Publicado,Pregão Eletrônico Aquisição processa mento de dados (tinta e toner),,23000062044200975,Nacional,29,RENATO MARCOS SANDI SILVA,Pregoeiro,10/02/2009 08:00,Rod. 399 km 05 - Zona rural/RO,20/02/2009 10:00,10/02/2009 08:00,10/02/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00006/2009,15322902000062009,,Publicado,"Construção de Garagem, Reforma e Adquaç ão do Almoxarifado e Cobertura da Estufa e Cons trução de Cerca AgI",,23000062390200953,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,10/08/2009 08:00,Instituto Federal de Rondonia Campus de Colorado do Oeste RO caixa postal 51 - Zona Rural/RO,,26/08/2009 09:00,10/08/2009,/licitacoes/id/licitacao/15322902000062009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00007/1999,15322901000071999,,Publicado,Serviços de Consultoria nas áreas  de Gestão Escolar e Integração Escola Empresa  de acordo com Contrato de Empréstimo  1052/OC-BR/ MEC-BID.,,3000014469/99-44,Nacional,6,MARIA CÉLIA SANTOS,Presidente do Comitê Especial de Seleção,29/10/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,16/11/1999 14:00,27/10/1999,/licitacoes/id/licitacao/15322901000071999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00007/2000,15322901000072000,,Divulgado,Aquisição de material de construção  e elétrico.,,3000061524200081,Nacional,204,,,10/03/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,20/03/2000 14:00,,/licitacoes/id/licitacao/15322901000072000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00007/2001,15322901000072001,,Publicado,Aquisição de equipamentos de informática.,"Edital 10,00 reais.",3000063070200163,Nacional,5,JACKSON BEZERRA NUNES,Presidente da CEL,04/06/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,18/06/2001 08:00,04/06/2001,/licitacoes/id/licitacao/15322901000072001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00007/2002,15322901000072002,,Divulgado,Aquisiçao de concentrado para frango de corte final.,,3000063003200220,Nacional,3,,,19/02/2002 08:00,Rod 399 Km 05 - Zona Rural/RO,,01/03/2002 08:00,,/licitacoes/id/licitacao/15322901000072002/itens
